Jeg er i fængslet.	I'm at the prison.
Jeg har aldrig været i England.	I have never been to England.
Forsøg ikke at efterligne hende.	Do not try to imitate her.
Der er mælk i køleskabet.	There is milk in the refrigerator.
Du påtænker at hjælpe mig i morgen, gør du ikke?	You're planning to help me tomorrow, aren't you?
Han kan tale fransk og engelsk.	He can speak French and English.
Tom mener han har fundet Atlantis.	Tom thinks he has found Atlantis.
Hun fik strømregningen i dag.	She received the electricity bill today.
Jeg havde en meget vigtig beslutning at træffe.	I had a very important decision to make.
Den person er fuld.	That person is drunk.
Dette er min cykel.	This is my bicycle.
Mary og Alice er svigerinder.	Mary and Alice are sisters-in-law.
Jeg leder efter min kuglepen.	I'm looking for my ballpoint pen.
Hvad synes du om min nye hat?	How do you like my new hat?
Jeg har været i Kina i mindre end en måned.	I've been in China for less than a month.
Sig bare sandheden.	Just tell the truth.
Kirken blev bygget i det femtende århundrede.	The church was built in the fifteenth century.
Jeg laver sjældent fejl.	I seldom make mistakes.
Toget er ved at afgå.	The train is about to leave.
Det regnede meget kraftigt.	It rained cats and dogs.
Jeg har ikke hørt noget fra hende ind til videre.	I've heard nothing from her as yet.
Vi prøver bare at vinde noget tid.	We're just trying to buy some time.
I dag er en tomme nøjagtig 2,54 centimeter.	An inch is now precisely 2.54 centimeters.
I 1783 opdagede Caroline Herschel tre nye stjernetåger.	In 1783 Caroline Herschel discovered three new nebulae.
Må jeg se hvad der er på de andre kanaler?	Can I see what's on the other channels?
En norsk diplomat havde været fjendligt indstillet over for Sovjetunionen. Så KGB igangsatte en aktion der skulle kompromittere nordmanden. Han havde en russisk kæreste og han blev bedt om at forlade landet straks.	A Norwegian diplomat had been hostile to the Soviet Union, so the KGB initiated a compromising action against the Norwegian. He had a Russian girlfriend and was asked to immediately leave the country.
Jeg drikker kaffe i stedet for mælk.	I drink coffee instead of milk.
Smut!	Get lost!
Tom sad på molen med fødderne i vandet.	Tom sat on the pier with his feet in the water.
Jo kortere, desto bedre.	The shorter the better.
"Hvilket æble ønsker du?" ― "Jeg ønsker det der."	"Which apple would you like?" "I'd like that one."
Frankrig er en republik.	France is a republic.
Jeg kan lide din plan.	I like your plan.
Butikken er lukket om mandagen.	The store is closed Mondays.
Tal nu eller ti for evigt!	Speak now or forever hold your peace.
Hvor tit tager du et brusebad?	How often do you shower?
Han vil ikke høre efter. Det er som at tale til en mur.	He won't listen. It's like talking to the wall.
Ti stille!	Be quiet.
Jeg kan lide baklava.	I like baclava.
Jeg er nødt til at erstatte mit tastatur med et nyt.	I need to replace my keyboard with a new one.
Hun kan aldrig holde på en hemmelighed.	She can never keep a secret.
Hver morgen, mens han spiser morgenmad, kigger hans hund på ham.	Every morning, while he is eating his breakfast, his dog looks at him.
Hvad er din favoritvideo på YouTube?	What's your favorite YouTube video?
Toms kommentarer skabte en del irritation.	Tom's comments ruffled a few feathers.
Tom er Marys mest berømte søn.	Tom is Mary's most famous son.
De havde ingen skæg, intet hår og ingen øjenbryn.	They had no beards, no hair and no eyebrows.
Brevet er skrevet af pigen.	The letter is written by the girl.
Er broen sikker?	Is the bridge safe?
Av! Jeg bed mig i tungen.	Ouch! I bit my tongue.
Jeg har en hund og en kat.	I have a cat and a dog.
Jeg bliver sytten næste år.	I'll be seventeen next year.
Du har ikke en nøgle, vel?	You don't have a key, do you?
Det siges at Marie Antoinette var ansvarlig for den franske revolution.	They say that Marie Antoinette was responsible for the French Revolution.
Jeg har hørt at det vil regne i morgen.	I heard that it's going to rain tomorrow.
Jeg kan næsten ikke se uden mine briller.	I can hardly see without my glasses.
Tom er en svækling.	Tom is a wimp.
I morgen er det jul.	Tomorrow is Christmas.
Vi får måske aldrig at vide hvad der i virkeligheden skete.	We may never know what really happened.
Er I snart klare?	Are you almost ready?
Jeg kan bevise at Tom ikke har gjort det.	I can prove that Tom hasn't done that.
Jeg tror det på tide at jeg flytter til forstæderne.	I think it's time for me to move to the suburbs.
For guds skyld.	For heaven's sake.
Det er utroligt!	It's unbelievable.
Hvorfor er I så vrede?	Why are you guys so angry?
Hvor mange gæster inviterede du?	How many guests did you invite?
Hun har haft to ulykker indenfor et år.	She had two accidents within a year.
Tæl til hundrede.	Count to one hundred.
Hun fandt ringen som hun havde tabt under rejsen.	She found the ring that she had lost during the journey.
Jeg har reddet jer.	I saved you.
Tom rensede sin riffel.	Tom cleaned his rifle.
Jeg har ølmave.	I have a beer belly.
Må jeg gå hen og købe is?	May I go buy some ice cream?
Børnene er i skole.	The kids are at school.
Jeg elsker at være gældfri.	I love having no debt.
Dan lærte at spille guitar.	Dan was learning how to play the guitar.
Nancy er bange for hunde.	Nancy is afraid of dogs.
Hvis jeg finder dit pas, vil jeg ringe dig op.	If I find your passport, I'll call you.
Det er et billede af Tom og hans kat.	That's a picture of Tom and his cat.
Marals mor er treogfyrre.	Maral's mother is forty-three.
Moren ammede sit barn i bussen.	The mother breastfed her child on the bus.
Dine chancer for at dø, mens du udfylder dine lottokuponer, er større end dine chancer for at vinde.	Your chances of dying while filling out your lottery tickets is greater than your chances of winning.
Dette er mit hus.	This is my house.
Hvor højt er Mont Blanc?	How high is Mont Blanc?
Tom plukkede et æble fra træet.	Tom picked an apple from the tree.
Jeg har brug for Tom.	I need Tom.
Tom så sig om i det tomme værelse.	Tom looked around the empty room.
Alt gik galt.	It all went wrong.
Hej du, sæt farten ned!	Hey, slow down!
Jeg har aldrig set Tom danse.	I've never seen Tom dance.
Algeriet har smukke strande.	Algeria has beautiful beaches.
Samis kat kradsede Layla.	Sami's cat was clawing Layla.
Han kender borgmesteren.	He is acquainted with the mayor.
Inger var et syndefuldt barn, som ikke agtede Vor Herres gaver, men trådte dem under fødderne.	Inge was a sinful girl, who did not value the gifts of God, but trampled them under her feet.
Tom var svag.	Tom was weak.
Luk venligst døren efter dig.	Please close the door behind you.
Regner det meget i Tyskland?	Does it rain much in Germany?
Disse er min bukser.	These are my pants.
Jeg er lærer.	I'm a teacher.
De mest kendte transcendente tal er π og e.	The best-known transcendental numbers are π and e.
Jeg håber ikke at Tom gør det igen.	I hope that Tom doesn't do that again.
Folkemassen demonstrerede til støtte for menneskerettigheder.	The crowd demonstrated in support of human rights.
Fryser du?	Are you freezing?
Sår heler med tiden.	Wounds heal as time passes.
Det var kun for sjov.	It's a joke, of course.
Tom tog Mary til hospitalet.	Tom took Mary to the hospital.
Jeg regner med det.	I'm counting on it.
Drikker du vin?	Do you drink wine?
Min onkel gav mig en gave.	My uncle gave me a present.
Det hele er overstået nu.	It's all over now.
Han sov i timen.	He was asleep during the lesson.
Hun var høj.	She was stoned.
Han lavede en løkke ud af lagnerne og hængte sig i sin celle.	He fashioned a noose out of the bed sheets and hung himself in his cell.
Hvis det ikke er i Tatoeba, er det ikke en sætning.	If it isn't on Tatoeba, it isn't a sentence.
Du kan ikke forvente at jeg altid tænker på alting.	You can't expect me to always think of everything!
Jeg forstår dit dilemma.	I understand your dilemma.
Kan der ikke gøres noget?	Can't anything be done?
Er du god til at tale fransk?	Are you good at speaking French?
Cristiano Ronaldo er en af verdens bedste fodboldspillere.	Cristiano Ronaldo is one of the world's best soccer players.
Skriv det ned før du glemmer det.	Write it down before you forget it.
Man sagde til mig at jeg skulle gå til læge.	I was told that I should see a doctor.
Hun ønsker datteren gift med en læge.	She wants to marry her daughter to a doctor.
Jeg tror ikke at det vil sne i morgen.	I don't think that it'll snow tomorrow.
Jeg har en kuglepen.	I have a pen.
Det er meget let at lære det kyrilliske alfabet, men at læse tekster skrevet med kyrilliske bogstaver, flydende er meget svært for dem der er lige begyndt på at lære russisk.	It's very easy to learn the Cyrillic alphabet, but reading fluently texts written in Cyrillic characters is quite difficult for those who are just starting to learn Russian.
Han klagede over maden.	He complained about the food.
Hun tog sine gamle sko af, og tog de nye på.	She took off her old shoes and put on the new ones.
Mary er ikke min kæreste, men min kone.	Mary is not my girlfriend but my wife.
Tag dig sammen!	Pull yourself together!
Jeg ved, hvor farlig Tom er.	I know how dangerous Tom is.
Jeg er træt. Jeg skal i seng.	I am tired, I need to go to bed.
En to meter lang levende krokodille er blevet fundet i et drivhus i en have i Sveriges tredje største by - Malmø.	A two-meter-long live crocodile has been found in a garden greenhouse in Sweden's third largest city, Malmö.
Han ønskede ikke at hun skulle gå.	He did not want her to leave.
Vent her indtil han kommer.	Be waiting here until he comes.
Det lyder alvorligt.	That sounds serious.
Tjek lige dæktrykket!	Check the pressure of the tires.
Tom og Mary bor på en gård og har 16 børn.	Tom and Mary live on a farm and have 16 children.
Ja, det sker fra tid til anden.	Yes, it happens from time to time.
Hun traf ham i cafeen.	She met him in the cafe.
Tågen er lettet.	The mist cleared.
Denne bog er lille.	This book is small.
Jeg vil holde min mund lukket.	I'll keep my mouth shut.
Tom giver koncert i slutningen af denne måned.	Tom is giving a concert at the end of this month.
Vores køleskab virker ikke.	Our refrigerator isn't working.
Tal tydeligt.	Speak clearly.
Fuglen var halvt så stor som en ørn.	The bird was half as large as an eagle.
Nogle mennesker køber kun økologiske fødevarer; de tror at deres krop så ikke beskadiges af forurenende stoffer.	Some people only buy organic food; they think that in this way their body will not be damaged by pollutants.
Er dette godt fransk?	Is this good French?
Ærlighed betaler sig ikke med det nuværende skattesystem.	Honesty doesn't pay under the current tax system.
Det har sneet i en uge.	It had been snowing for a week.
Han sagde, at han er pessimistisk.	He said he's pessimistic.
Vi hjalp også dem.	We helped them as well.
Bomuldsvanter forhindrer babyen i at kradse sig i ansigtet.	Cotton mittens will prevent the baby from scratching her own face.
Bussen standsede for at optage passagerer.	The bus stopped to take up passengers.
De kalder mig feltmadras.	They call me an army whore.
Sami købte sin drømmebil.	Sami bought his dream car.
Så er der serveret.	Dinner is ready to eat.
Han var kendt af alle i landsbyen.	He was known to everybody in the village.
I Canada taler man engelsk og fransk.	In Canada they speak English and French.
Jeg har lånt et bord.	I've borrowed a table.
Rygtet fortæller at du fik jobbet.	The word is that you got the job.
Hun elsker ham.	She loves him.
Tom og Mary har drukket.	Tom and Mary have been drinking.
Vær høflig over for dine forældre.	Be polite to your parents.
Hans held vil slippe op før eller senere.	He'll run out of luck sooner or later.
Vi gav vores hund navnet White.	We named our dog White.
Emily er ved at lære dansk fordi hun og hendes forældre tager til Danmark til sommer.	Emily is learning Danish, because she and her parents are going to Denmark this summer.
Han har boet længe i Island.	He has lived in Iceland for a long time.
Sommeren er ovre inden længe.	Summer is almost over.
Tom sagde at han syntes at jeg så ud som om jeg kedede mig.	Tom said he thought I looked like I was bored.
Katten venter på dig derhjemme.	The cat is waiting for you at home.
Tager du ofte til Boston?	Do you go to Boston often?
I dette fremmede land sad folk på hug ved busstoppestedet og ventede med sindsro på bussen.	In this foreign country, people at the bus stop were calmly waiting for the bus, sitting on their haunches.
Hvornår skal du til Japan?	When will you go to Japan?
Jeg boede i Boston for tre år siden.	I was living in Boston three years ago.
Jeg troede at Tom ikke drak.	I thought Tom didn't drink.
Kaffen kunne godt være en smule stærkere.	The coffee could be a bit stronger.
Har din mor og far samme efternavn?	Do your mum and dad have the same surname?
